,item,brand,retail,release,lowestAsk,numberOfAsks,salesThisPeriod,highestBid,numberOfBids,annualHigh,annualLow,volatility,deadstockSold,averageDeadstockPrice,lastSale,changePercentage
928,adidas Superstar Bape ABC Camo Green,Adidas,150,2021-05-01,157,351,13,225,159,385,0,0.216283,3189,181,157,-0.170722
929,Jordan 1 Mid Turf Orange (GS),Nike,100,2021-02-15,99,259,13,100,35,196,64,0.13559,2937,120,152,0.501986
930,Nike Air Max 97 Triple Black,Nike,160,2018-12-14,134,207,13,180,92,313,74,0.188891,2918,187,148,-0.203004
931,adidas Yeezy Boost 380 Onyx,Adidas,230,2020-11-28,199,504,13,215,136,409,81,0.146702,2810,254,210,-0.189189
932,Jordan 1 Low Black White (W),Nike,90,2020-04-01,112,231,13,170,113,252,70,0.098779,2715,133,123,0.051282
933,Jordan 11 Retro Playoffs Bred (2019) (GS),Nike,170,2019-12-14,191,326,13,280,54,369,140,0.229954,2537,258,221,0.3
934,Hoka One One Bondi 7 Black,Hoka One One,150,2020-09-01,105,66,13,108,177,280,50,0.475915,2459,81,80,-0.118057
935,adidas Ultra Boost DNA LEGO Multi,Adidas,200,2021-06-16,93,140,13,117,72,300,40,0.168858,2370,124,252,1.17241
936,Nike Dunk Low Scrap Wolf Grey Light Lemon Twist,Nike,110,2021-11-01,146,147,13,145,47,399,95,0.065891,2268,167,193,0.155689
937,Nike Air Rubber Dunk Off-White UNC,Nike,190,2020-10-01,362,368,13,410,145,686,170,0.071335,2041,414,442,0.025487
938,Nike Dunk High Ambush Active Fuchsia,Nike,180,2021-02-04,200,304,13,287,163,500,149,0.18354,1888,261,225,-0.054404
939,Nike Air Max Pre-Day Light Bone,Nike,160,2021-08-18,92,169,13,150,88,275,30,0.152913,1869,127,90,-0.021739
940,Nike Air VaporMax 2020 Flyknit Summit White (W),Nike,220,2020-08-06,80,148,13,104,57,199,58,0.132237,1862,108,136,0.446809
941,Nike Air Max 270 React ENG Travis Scott Cactus Trails,Nike,170,2020-05-29,349,359,13,396,264,1340,92,0.15526,1690,441,370,-0.155251
942,Jordan 1 Mid Reverse Bred (2021) (GS),Nike,95,2022-02-08,74,549,13,75,22,164,59,0.088396,1650,96,101,0.310812
943,Nike Dunk Low White Gypsy Rose (PS),Nike,65,2021-12-13,70,351,13,80,34,158,32,0.110811,1613,85,65,-0.04417
944,adidas Yeezy Boost 350 V2 Linen,Adidas,220,2020-04-18,280,358,13,422,143,681,202,0.181745,1523,346,324,-0.27733
945,adidas Ultra Boost 22 Triple Black,Adidas,190,2021-12-06,110,101,13,112,77,200,65,0.050819,1396,114,122,0.110972
946,adidas Yeezy Knit RNR Stone Carbon,Adidas,200,2022-03-26,180,520,13,270,143,1366,152,0.120442,1307,284,210,-0.113924
947,Jordan 1 Retro High Off-White University Blue,Nike,190,2018-06-23,1763,375,13,2600,304,4391,1112,0.135591,1285,2319,2200,-0.020976
948,Nike Air VaporMax Plus Sunset Pulse Bubblegum (W),Nike,220,,167,147,13,193,75,410,60,0.089566,1285,226,182,-0.066667
949,Nike Air Max 90 Batman,Nike,130,2022-03-19,136,56,13,185,135,364,110,0.236582,1280,166,153,0.233871
950,Nike Air More Uptempo Bulls Hoops Pack (2017/2021),Nike,160,2017-04-07,163,188,13,202,108,350,101,0.12834,1223,175,225,0.086644
951,Nike Air Force 1 Mid QS Jewel NYC White Midnight Navy,Nike,140,2022-05-20,100,199,13,140,115,351,72,0.201491,1134,127,111,0.121212
952,Nike Air Monarch IV White Navy,Nike,65,2018-01-01,55,194,13,68,35,179,32,0.634561,1048,90,36,-0.613372
953,Nike ZoomX Vaporfly Next% 2 White Metallic Silver,Nike,250,2021-05-13,110,242,13,138,112,363,90,0.081743,953,164,132,-0.043478
954,Nike Air Force 1 High Utility 2.0 Summit White (W),Nike,110,2021-11-06,91,115,13,122,33,272,54,0.178554,736,134,115,-0.302573
955,Under Armour Curry Flow 9 Sesame Street Big Bird,Under Armour,160,2021-11-19,183,113,13,210,46,434,125,0.059751,735,223,204,0.056995
956,Nike Classic Cortez White Black (W),Nike,70,2018-01-01,74,80,13,95,40,165,25,0.150392,715,88,77,-0.190532
957,Nike Epic React Flyknit 2 Black White,Nike,150,2019-01-31,60,297,13,78,41,167,25,0.160605,714,87,65,0
958,Converse Chuck Taylor All-Star Hi Platform White Black (W),Converse,70,2021-12-27,60,122,13,62,28,163,36,0.097155,513,84,72,0.16061
959,New Balance 574 YURT Salehe Bembury Universal Communication Black Plum,New Balance,150,2022-04-22,122,349,13,155,52,400,92,0.095929,475,174,191,0.24219
