,item,brand,retail,release,lowestAsk,numberOfAsks,salesThisPeriod,highestBid,numberOfBids,annualHigh,annualLow,volatility,deadstockSold,averageDeadstockPrice,lastSale,changePercentage
437,Nike Dunk Low Golden Gals Metallic Silver (W),Nike,110,2021-12-09,147,308,31,166,123,351,100,0.070438,6905,163,198,0.330789
438,Hoka One One Anacapa Low Gore-Tex Black,Hoka One One,155,2021-07-01,113,76,31,140,110,315,68,0.153119,1038,128,127,-0.050038
439,New Balance 2002R Black Dark Grey,New Balance,140,,168,174,31,165,141,281,120,0.116788,328,191,167,-0.061798
440,adidas Yeezy Slide Pure (First Release),Adidas,55,2021-04-26,160,481,30,231,135,515,80,0.083647,53792,203,246,0.149533
441,Jordan 1 Low Black White Grey,Nike,90,2021-11-12,177,576,30,210,214,322,70,0.097796,24403,153,210,0.030743
442,Nike Dunk Low SE Sail Multi-Camo,Nike,110,2021-08-11,187,436,30,234,158,400,119,0.082706,23805,190,211,0.233918
443,Nike Dunk Low Next Nature Pale Coral (W),Nike,100,2021-11-03,165,422,30,200,155,326,108,0.11294,14929,166,195,0
444,Jordan 1 Low Fragment x Travis Scott,Nike,150,2021-08-13,1285,663,30,1850,606,3204,855,0.049764,12730,1417,1569,-0.164301
445,Puma LaMelo Ball MB.01 Rick and Morty,Puma,135,2022-02-18,331,304,30,435,249,1312,171,0.216649,12076,289,340,-0.041796
446,Jordan 1 Retro High OG Light Fusion Red,Nike,170,2021-06-12,134,1487,30,153,151,282,95,0.214273,11811,180,115,-0.28125
447,adidas Yeezy Boost 700 Wash Orange,Adidas,240,2021-10-16,240,910,30,275,145,649,151,0.093108,9239,282,270,0
448,adidas Ultra Boost DNA 4.0 Core Black,Adidas,180,2021-02-23,99,315,30,130,68,230,30,0.10995,6895,103,124,0.402967
449,Jordan 1 Retro High OG Brotherhood (GS),Nike,130,2022-02-24,102,654,30,110,101,260,85,0.097199,4085,144,118,0.082569
450,adidas Yeezy 700 V3 Mono Safflower,Adidas,200,2022-03-18,197,756,30,226,145,421,140,0.094616,3813,235,191,-0.154867
451,New Balance 550 White Red Black,New Balance,110,2021-09-01,100,217,30,140,97,242,75,0.149868,2850,136,133,0.204905
452,Nike Kyrie 7 1 World 1 People Yellow,Nike,130,2021-10-01,117,269,30,115,121,416,35,0.03084,2097,154,118,-0.070866
453,Nike Dunk Low Two-Toned Grey (PS),Nike,60,2022-03-01,64,590,30,73,86,195,54,0.08508,1990,86,72,-0.064935
454,Nike React Vision Black White,Nike,140,2020-06-12,55,195,30,95,60,224,25,0.110221,1746,81,58,0
455,Jordan Lift Off South Beach,Nike,115,2019-01-01,59,100,30,175,79,250,48,0.138503,1639,85,59,-0.092308
456,Jordan 1 Low Black Grey Pink,Nike,110,2022-04-11,117,483,30,150,103,274,96,0.336273,825,136,125,-0.54458
457,Jordan 1 High Element Gore-Tex Berry,Nike,200,2022-03-28,146,451,30,260,154,427,128,0.129015,819,207,155,-0.004762
458,Jordan 1 Low SE Light Smoke Grey Gym Red,Nike,110,2021-11-10,135,613,29,155,186,303,100,0.060902,10106,145,147,0.139535
459,Jordan 11 Retro Playoffs Bred (2019),Nike,220,2019-12-14,305,913,29,445,275,992,155,0.143212,7282,392,319,-0.039157
460,New Balance 990v3 MiUSA Marblehead Incense,New Balance,200,2022-04-28,220,244,29,268,355,450,190,0.087292,1770,275,297,0.331839
461,Jordan 1 Low SE Utility White Black Gym Red (W),Nike,110,2021-10-10,100,380,29,107,64,248,45,0.156722,1509,130,109,-0.232028
462,Nike Dunk Low Disrupt 2 White University Blue (W),Nike,110,2022-04-01,131,127,29,125,94,228,106,0.148673,1104,150,140,-0.034483
463,Nike Dunk Low SE Barber Shop Black,Nike,110,2022-03-01,114,362,29,182,90,378,108,0.171815,745,169,121,-0.062016
464,New Balance 2002R Protection Pack Dark Navy,New Balance,150,,182,246,29,401,268,496,178,0.092511,558,250,230,0.133005
465,New Balance 327 Sea Salt Rust Oxide (W),New Balance,110,2022-03-15,81,184,29,90,33,210,60,0.049063,496,116,95,0.091954
466,adidas Yeezy Slide Glow Green (2022) (Kids),Adidas,60,2022-05-31,59,284,29,63,58,106,42,0.046201,266,63,64,0.04918
467,Jordan 1 Mid Tan Gum,Nike,120,2021-09-03,146,446,28,240,220,416,100,0.09313,12680,172,195,0.404322
468,Jordan 1 Retro High Court Purple White,Nike,170,2020-04-11,246,1296,28,350,284,693,170,0.130707,9730,329,309,0.103571
469,adidas Yeezy 500 Utility Black,Adidas,200,2018-07-07,299,629,28,350,206,675,116,0.124671,8078,354,350,0.046744
470,Jordan 12 Retro Playoffs (2022) (GS),Nike,150,2022-03-11,112,601,28,125,66,340,65,0.073979,7500,171,141,-0.013986
471,Jordan 1 High Zoom Air CMFT Stadium Green,Nike,140,2021-03-03,127,363,28,200,201,324,98,0.144993,6314,169,139,0.085938
472,Jordan 5 Retro What The,Nike,220,2020-11-12,181,597,28,275,161,589,140,0.14903,5902,248,274,-0.052236
473,New Balance 550 Syracuse,New Balance,110,2021-09-10,112,950,28,162,149,324,95,0.172313,3384,144,151,0.074074
474,New Balance 2002R Protection Pack Phantom,New Balance,150,2021-08-20,212,314,28,345,199,1264,153,0.125404,3355,274,258,-0.000365
475,Nike Vaporwaffle sacai Villain Red Neptune Green,Nike,180,2020-12-21,257,295,28,463,291,892,177,0.197692,1832,441,408,-0.006211
476,Nike Dunk High Electro Purple Midnght Navy (GS),Nike,105,2021-12-01,77,607,28,82,34,181,64,0.269189,1438,108,75,-0.192525
477,Nike Air Zoom Flight 95 SP Supreme Black,Nike,178,2022-05-05,170,384,28,300,150,500,127,0.165363,615,219,223,-0.133684
478,Jordan 1 Mid Sanddrift (W),Nike,135,2022-04-12,104,384,28,108,56,219,86,0.118309,576,143,126,0.139405
479,Jordan 1 Low Tropical Teal (W),Nike,100,,100,455,28,101,86,230,75,0.115989,514,120,130,0.733333
480,Nike Air Max Penny 1 Home (2022),Nike,175,2022-05-01,213,49,28,258,91,560,181,0.090252,297,255,263,0.321608
481,Converse Chuck One Star Ox Stussy Black,Converse,100,,130,119,28,155,70,288,123,0.079365,70,165,138,-0.010722
482,Jordan 1 Low Starfish,Nike,130,2021-08-26,185,853,27,325,327,1062,145,0.090638,15897,225,221,-0.079167
483,Jordan 1 Retro High Lucky Green (W),Nike,170,2020-10-14,233,582,27,350,259,527,180,0.189603,9284,311,308,0.190995
484,Nike Air Force 1 Low LX White Pendant (W),Nike,110,2021-11-11,123,251,27,163,129,250,69,0.119111,8872,144,143,0.159954
485,Nike LD Waffle sacai Undercover Black Bright Citron,Nike,170,2021-10-29,165,751,27,251,243,1296,125,0.132142,8522,214,203,0.037037
486,Jordan 6 Retro Travis Scott British Khaki,Nike,250,2021-04-30,275,953,27,438,356,1009,215,0.097643,8462,461,468,0.180136
487,Nike Air Max 90 NRG Bacon (2021),Nike,140,2021-03-26,130,891,27,172,266,281,61,0.188251,7151,158,130,0.07438
488,adidas Yeezy 700 V3 Copper Fade,Adidas,200,2021-12-10,193,687,27,200,134,534,110,0.132274,5184,207,217,0.205556
489,Jordan 1 Low Coconut Milk (W),Nike,90,2021-11-01,128,242,27,126,115,244,90,0.112521,4004,139,133,0
490,Nike Dunk Low Vintage Green (W),Nike,110,2022-03-24,265,301,27,390,278,911,226,0.134727,3095,318,304,-0.005673
491,Nike Dunk High Championship White Red (GS),Nike,90,2022-05-17,91,455,27,88,67,276,73,0.089184,2135,126,111,0.215644
492,Nike Blazer Low Sacai Black Patent Leather,Nike,120,2022-03-31,72,791,27,82,101,193,60,0.103976,1879,115,98,-0.031918
493,Nike Dunk High 1985 SP Yellow Acid Wash,Nike,130,2022-02-23,75,554,27,101,85,624,60,0.174705,1600,130,102,-0.241028
494,Nike SB Dunk High Pro ISO Kentucky,Nike,110,2022-02-05,138,277,27,165,156,350,88,0.047745,1524,175,168,0.05
495,Jordan 1 Mid Sonics (2021) (GS),Nike,90,2021-10-16,100,313,27,97,48,308,80,0.039364,1363,123,102,-0.046729
496,Jordan 1 Mid Dark Teal Green (W),Nike,120,2022-04-01,117,243,27,120,52,306,105,0.104936,940,167,133,-0.049807
497,Nike Air Force 1 Mid Stussy Black White,Nike,150,2022-05-13,85,642,27,189,140,424,50,0.170778,435,139,95,-0.030612
498,Nike Air Max 1 Travis Scott Cactus Jack Baroque Brown (PS),Nike,85,2022-05-27,120,318,27,136,127,380,106,0.086433,289,158,147,0.176
499,Nike SB Zooom Blazer Mid Edge Floral White Grey,Nike,105,,82,158,27,118,30,171,51,0.120291,154,102,123,0.042373
500,Converse GLF 2.0 Golf Le Fleur Oil Green,Converse,110,2022-06-09,145,91,27,193,33,279,150,0.110134,82,206,244,0.249887
501,Jordan 1 High OG Denim (W),Nike,170,2022-09-23,234,127,27,250,63,447,231,0.095133,68,295,250,-0.019608
502,Jordan 4 Retro White Oreo (2021) (GS),Nike,150,2021-07-03,282,263,26,375,104,596,150,0.299995,20482,251,295,-0.221636
503,Nike SB Dunk Low Pro Parra Abstract Art (2021),Nike,110,2021-07-31,273,481,26,485,370,1200,196,0.16582,11182,388,420,-0.142857
504,Jordan 4 Retro University Blue (GS),Nike,150,2021-04-28,220,416,26,286,112,462,140,0.175502,10787,257,286,0.003509
505,Jordan 1 Retro High White University Blue Black (GS),Nike,130,2021-03-06,279,442,26,337,96,574,248,0.149788,6747,365,335,0.200717
506,Jordan 1 Mid Triple Black,Nike,115,2020-03-24,98,488,26,130,82,311,60,0.189897,4856,143,101,0.002325
507,Jordan 4 Retro Golf Bred,Nike,220,2021-12-21,226,760,26,235,161,1988,150,0.073385,4476,276,240,-0.020408
508,Jordan 1 Retro High CO Japan Neutral Grey (2020),Nike,170,2020-08-07,160,1044,26,200,126,495,120,0.125482,4081,193,165,-0.046243
509,Jordan 1 Low Purple Magenta (W),Nike,110,2021-03-27,158,161,26,185,125,308,97,0.083147,4035,164,157,-0.042683
510,Jordan 12 Retro Reverse Flu Game,Nike,190,2020-12-26,162,423,26,286,156,441,156,0.20972,3336,228,170,-0.328063
511,Jordan 4 Retro Off-White Sail (W),Nike,200,2020-07-25,1286,450,26,3167,335,5999,705,0.222985,2553,1562,1349,-0.000741
512,Nike Dunk Low White Grey Red (GS),Nike,85,2022-05-10,93,159,26,123,108,243,80,0.072503,768,124,117,0.026316
513,New Balance 550 White Pink (W),New Balance,110,2022-03-15,165,293,26,200,81,403,150,0.07032,608,220,180,-0.04709
514,Nike Air Max 90 Premium Lucky Charms (W),Nike,130,2021-11-26,56,154,26,100,70,238,50,0.588851,534,85,63,-0.16
515,adidas Yeezy Boost 350 V2 Onyx,Adidas,230,2022-03-05,311,279,26,310,129,1100,289,0.060716,57,430,335,-0.094263
516,Jordan 1 Low OG Neutral Grey (2021),Nike,130,2021-06-24,200,536,25,267,227,435,0,0.059805,15163,194,245,-0.075472
517,Nike LeBron 18 Low Wile E. vs Roadrunner Space Jam,Nike,160,2021-07-16,95,256,25,190,123,883,59,0.183017,12757,206,145,-0.25641
518,Nike Dunk Low Sail Multi-Camo (GS),Nike,95,2021-08-11,151,136,25,185,93,345,81,0.115014,12280,167,191,-0.094787
519,Nike Dunk Low Sunset Pulse (W),Nike,100,2021-06-10,140,176,25,181,106,405,85,0.154135,10999,146,203,0.222892
520,adidas Yeezy Boost 350 V2 Synth (Reflective),Adidas,220,2019-06-21,261,586,25,450,144,1905,215,0.148411,8651,358,320,-0.103641
521,adidas Yeezy Boost 350 V2 Sand Taupe,Adidas,220,2020-12-19,245,1008,25,327,202,472,130,0.171889,8265,287,274,-0.240997
522,adidas Yeezy Desert Boot Rock,Adidas,200,2019-04-13,127,486,25,230,121,863,101,0.115754,5817,260,254,0.239024
523,Nike Kobe 5 Protro Undefeated Hall of Fame,Nike,190,2021-05-15,230,428,25,500,195,800,120,0.283928,4523,298,265,0.007605
524,Jordan 1 Mid Signal Blue (GS),Nike,100,2021-01-01,115,259,25,136,73,252,85,0.110754,4494,147,167,0
525,Jordan 6 Retro Black Infrared (2019),Nike,200,2019-02-16,302,424,25,427,238,637,216,0.113748,3370,371,333,-0.13382
526,Jordan 1 Low SE Light Curry,Nike,100,2021-11-20,112,754,25,125,144,367,96,0.141825,2989,139,130,0.160714
527,adidas Yeezy Boost 380 Calcite Glow,Adidas,250,2020-10-31,210,595,25,249,184,471,130,0.113157,2891,260,240,-0.055118
528,Nike Kyrie 4 Low Bright Crimson Aquatone,Nike,110,2021-09-03,124,157,25,160,75,298,45,0.072718,2565,141,124,-0.138889
529,Nike Air Trainer 1 SP Dark Smoke Grey,Nike,150,2022-03-17,93,378,25,160,97,275,81,0.273633,1542,152,98,0.13133
530,adidas Yeezy Slide Pure (Restock Pair) (Infants),Adidas,40,2021-03-07,60,325,25,60,61,132,50,0.114428,1342,68,61,0.016667
531,Nike Dunk High Fragment Beijing (2021),Nike,150,2021-06-05,70,1209,24,141,185,267,60,0.129601,8719,169,163,0.051613
532,Jordan 1 Retro High Black Metallic Gold (2020),Nike,170,2020-11-30,150,1171,24,226,163,483,111,0.116062,8582,205,197,-0.065211
533,Jordan 1 Retro High Light Smoke Grey,Nike,170,2020-07-11,230,1067,24,280,218,469,140,0.09801,8523,298,285,0.096154
534,Nike Dunk Low Orange Pearl (W),Nike,100,2021-03-15,196,445,24,240,123,386,160,0.104334,7034,234,227,0.250224
535,Jordan 1 Mid Chicago (2020),Nike,115,2020-07-16,200,428,24,230,145,473,130,0.19534,5615,222,212,-0.1417
536,Jordan 1 Retro High Satin Snake Chicago (W),Nike,170,2020-08-06,157,783,24,220,160,351,126,0.117785,5424,238,276,0.360775
537,adidas Yeezy Boost 700 Bright Blue,Adidas,240,2021-04-24,240,691,24,405,143,640,188,0.147773,5334,322,280,0.191489
538,Jordan 1 Low SE Barcelona Cyber Teal,Nike,110,2021-10-15,125,604,24,125,121,343,99,0.087158,4173,142,127,-0.052239
539,Nike Air Max 1 Patta Waves Rush Maroon (with Bracelet),Nike,160,2021-11-19,119,923,24,155,250,440,100,0.09709,3851,187,167,0.415254
540,Jordan 11 Retro Concord (2018),Nike,220,2018-12-08,432,543,24,482,250,702,215,0.087588,3627,468,500,0.25
541,New Balance 550 Shadow,New Balance,110,2022-01-12,109,269,24,140,75,299,53,0.119843,3356,135,132,0.090668
542,Nike Hot Step Air Terra Drake NOCTA White,Nike,180,2022-03-03,139,280,24,341,297,1281,107,0.183498,2998,303,387,1.19119
543,Nike Air Max 1 SP Concepts Far Out (Special Box),Nike,230,2022-03-26,260,497,24,402,402,1247,250,0.133153,2991,352,377,0.185355
544,Jordan 5 Retro Low Doernbecher Michael (2022),Nike,200,2022-04-30,220,270,24,375,213,750,201,0.123124,1149,325,211,-0.124481
545,adidas ZX 8000 LEGO,Adidas,130,2020-09-25,107,197,24,99,86,315,84,0.114135,849,169,116,0.009091
546,Jordan 4 Retro Military Black (TD),Nike,70,2022-05-21,69,584,24,60,66,140,51,0.085547,554,80,85,0.349206
547,Nike Air Force 1 Low '07 Medium Blue,Nike,100,2022-03-29,95,179,24,92,70,168,78,0.104613,310,111,100,-0.074074
548,OFF-WHITE Odsy-1000 Black Grey Fucshia,Nike,0,,310,19,24,850,23,851,267,0.043738,118,484,342,-0.011561
549,Jordan 2 Retro Maison Chateau Rouge,Nike,200,2022-06-24,464,76,24,310,32,857,270,0.159732,26,401,522,0
550,Jordan 4 Retro Shimmer (W),Nike,190,2021-09-03,285,728,23,500,252,820,182,0.12332,21607,297,385,0.283652
551,Nike LD Waffle SF sacai Fragment Blue Void,Nike,170,2021-08-27,245,942,23,284,248,700,140,0.12072,17628,327,295,0.035088
552,Nike Dunk Low Green Glow (W),Nike,100,2021-04-16,183,314,23,357,187,598,137,0.164447,12724,231,235,-0.279828
553,Jordan 1 Low Pollen,Nike,100,2021-08-21,144,390,23,165,183,279,90,0.185077,7729,139,145,-0.104938
554,Converse Run Star Hike Hi Black White Gum,Converse,100,2019-12-28,66,480,23,80,72,201,25,0.196132,6825,92,71,0.044118
555,Jordan 1 Retro High NC to Chi Leather (W),Nike,170,2020-02-13,134,871,23,289,155,409,110,0.298304,5013,223,134,-0.204616
556,Jordan 1 Mid Paint Drip (GS),Nike,90,2021-03-01,126,259,23,130,87,269,96,0.086029,4638,136,177,0.157857
557,adidas Yeezy Boost 350 V2 Ash Stone,Adidas,220,2021-02-27,245,513,23,290,160,702,205,0.142543,3986,300,267,0.042969
558,Jordan 4 Retro Bred (2019),Nike,200,2019-05-04,453,501,23,560,341,1077,275,0.098155,3869,554,593,-0.011228
559,Jordan 1 Low Hemp White,Nike,90,2021-09-27,166,139,23,255,97,477,100,0.126365,3504,212,179,-0.097271
560,Nike P-6000 Triple White,Nike,100,2019-06-17,93,61,23,134,69,265,44,0.105195,3439,103,137,-0.064286
561,Jordan 1 Mid SE White Pine Green Smoke Grey (GS),Nike,100,2022-04-13,105,574,23,118,108,306,102,0.156707,3283,149,125,0.01786
562,New Balance 550 White Blue,New Balance,110,2020-12-01,120,330,23,175,101,450,103,0.240898,2547,164,127,-0.312822
563,Nike Air Max Pre-Day Hasta Anthracite,Nike,140,2021-09-09,68,230,23,179,79,278,31,0.13816,1693,116,91,0.011111
564,Nike Dunk Low Disrupt 2 Pale Ivory (W),Nike,110,2022-03-30,101,298,23,120,75,222,80,0.136608,1652,135,108,-0.102351
565,Jordan 7 Retro SE Sapphire,Nike,210,2022-04-16,150,585,23,221,108,392,100,0.107171,1561,203,166,-0.262222
566,Nike Dunk Low White Paisley (W),Nike,100,2022-05-01,84,217,23,180,108,298,75,0.156088,1317,126,116,-0.008547
567,Jordan 1 Mid Green Python (W),Nike,135,2022-05-03,108,396,23,140,114,250,99,0.122451,1210,163,151,0.162688
568,Nike React Vision White Light Smoke Grey,Nike,140,2020-06-12,88,66,23,141,31,211,35,0.148441,1160,102,109,-0.2403
569,Nike M2K Tekno White Pure Platinum,Nike,100,2018-08-01,60,141,23,104,37,206,41,0.149823,1139,97,79,0.031746
570,New Balance 2002R Marblehead Light Aluminum,New Balance,140,2020-09-01,115,255,23,130,106,291,80,0.141559,658,162,144,-0.137617
571,Nike Killshot 2 Leather J Crew,Nike,90,2019-05-20,65,212,23,79,50,275,25,0.136216,627,98,94,0.205128
572,New Balance 550 White Vibrant Orange,New Balance,120,2022-06-01,124,106,23,175,160,319,110,0.144452,360,157,136,0.014925
573,Nike Air Max Plus Black University Blue,Nike,185,,183,146,23,205,120,371,132,0.16358,286,225,190,-0.073171
574,Nike Air Griffey Max 1 USA (2022),Nike,170,,142,163,23,310,52,284,80,0.264193,116,172,142,-0.040541
575,New Balance 991 Aime Leon Dore MiUK Tan,New Balance,275,2022-05-30,305,202,23,427,101,701,305,0.180787,63,407,360,0.125
576,Jordan 6 Retro Bordeaux,Nike,190,2021-09-04,199,529,22,220,118,450,150,0.098281,18467,228,228,0.004405
577,Nike Dunk Low SP Undefeated 5 On It Black,Nike,120,2021-09-08,132,512,22,262,186,475,75,0.183162,12627,194,193,-0.035
578,Nike Dunk Low Undefeated 5 On It Dunk vs. AF1,Nike,120,2021-08-06,114,547,22,200,205,4000,85,0.123451,12224,190,182,0.246575
579,Jordan 1 Mid Kentucky Blue (W),Nike,120,2021-09-01,144,563,22,165,163,300,90,0.068207,9522,155,170,0.082803
580,Nike Kwondo 1 G-Dragon Peaceminusone Triple White,Nike,180,2022-02-25,126,758,22,231,278,1054,83,0.181019,7108,264,193,-0.174267
581,Jordan 5 Retro OFF-WHITE Sail,Nike,225,2020-10-29,406,882,22,690,263,1065,262,0.099514,5290,612,550,-0.001815
582,Nike Air Force 1 Low LE Triple White (GS),Nike,75,2021-04-14,73,224,22,69,52,120,25,0.144863,5287,75,73,-0.026667
583,Jordan 1 Retro High Fearless UNC Chicago,Nike,160,2019-11-02,310,533,22,528,257,829,252,0.165901,4184,398,325,0.048387
584,Nike Air Force 1 Low '07 LV8 Athletic Club Marina Blue,Nike,110,2021-12-18,118,291,22,122,145,224,68,0.066225,3130,141,153,0.278433
585,Nike Air Max 270 White Black,Nike,160,2018-03-20,120,200,22,160,89,265,60,0.070527,2592,134,115,-0.041667
586,adidas Yeezy Boost 350 V2 Cloud White (Non-Reflective),Adidas,220,2019-09-21,317,494,22,370,189,750,200,0.12987,2585,404,360,-0.019074
587,Jordan 1 Mid Edge Glow (GS),Nike,100,2020-07-04,99,94,22,146,33,229,90,0.243378,2203,129,106,0.019231
588,Nike Dunk Low White Pink (GS),Nike,85,2022-01-15,79,408,22,76,35,185,57,0.046264,1667,105,88,0.113924
589,adidas Campus 80s South Park Towelie,Adidas,100,2021-04-20,168,195,22,310,104,720,115,0.123091,1319,293,262,0.308482
590,Nike Go FlyEase White Sail,Nike,120,2022-05-02,92,220,22,155,53,417,44,0.111237,697,139,124,0.118835
591,Crocs Classic Clog Karol G,Crocs,70,2022-02-18,77,139,22,210,79,504,60,0.267512,459,164,240,0.2
592,Nike Air Force 1 Low Luxe Burnt Sunrise,Nike,140,2022-04-27,148,59,22,205,47,425,120,0.2917,308,209,120,-0.04
593,adidas Yeezy Foam RNNR Sulfur (Infants),Adidas,45,2022-04-16,105,74,22,100,38,195,73,0.093549,303,114,120,0.2
594,The North Face Trekking Sandal Supreme Black,The North Face,88,2022-06-09,105,221,22,200,58,150,99,0.059908,70,118,109,-0.009091
595,Jordan 1 Mid Hyper Royal Tumbled Leather,Nike,115,2020-12-30,144,772,21,172,136,371,100,0.12615,13113,158,150,-0.025974
596,Nike LD Waffle sacai CLOT Kiss of Death Net Orange Blaze,Nike,170,2021-09-14,145,1079,21,212,225,817,126,0.187196,12567,215,216,0.053659
597,Jordan 1 Mid Signal Blue,Nike,115,2021-01-15,164,542,21,190,137,322,45,0.130843,8407,174,241,0.223736
598,Jordan 1 Low Reverse Bred,Nike,90,2020-09-29,120,691,21,170,126,251,76,0.137203,7698,134,161,0.224372
599,Nike SB Dunk Low Pro FTC Lagoon Pulse (Regular Box),Nike,110,2021-07-21,250,280,21,340,221,1030,186,0.089907,5838,355,254,-0.067971
600,Nike SB Dunk Low Pro FTC Lagoon Pulse (Regular Box),Nike,110,2021-07-21,250,280,21,340,221,1030,186,0.089907,5838,355,254,-0.067971
601,adidas Yeezy Boost 700 Faded Azure,Adidas,240,2021-11-27,242,791,21,300,168,540,160,0.072654,5643,278,287,0.074906
602,Jordan 1 Mid SE Turf Orange,Nike,110,2021-03-17,117,738,21,159,128,309,40,0.348738,4180,139,117,0
603,Jordan 1 Low OG Starfish (GS),Nike,100,2021-08-26,159,217,21,170,76,259,115,0.063209,3764,154,162,-0.047059
604,adidas Ultra Boost 5.0 DNA Oreo,Adidas,180,2021-02-18,87,155,21,150,52,214,40,0.30909,3045,101,89,-0.364286
605,Nike Air Max 1 Premium Wabi-Sabi (W),Nike,150,2022-03-26,175,193,21,735,391,1331,141,0.136547,2267,251,251,0.05234
606,New Balance 550 Sea Salt Varsity Gold,New Balance,120,2021-05-07,140,190,21,172,107,436,72,0.105024,2161,196,170,-0.160337
607,Nike Air Force 1 Low '07 Essential White Black Paisley (W),Nike,100,2021-12-29,105,442,21,112,98,320,70,0.14848,1791,130,132,-0.08672
608,Nike Blazer Mid 77 White Team Red,Nike,100,,81,145,21,95,51,229,37,0.216124,1638,106,86,0.011765
609,Nike Zoom Freak 3 NRG Uno Face It,Nike,125,2022-03-10,121,175,21,162,46,500,60,0.073837,1499,159,142,0.044118
610,Jordan 1 Retro High OG SP Utility Stash,Nike,175,2022-05-03,117,498,21,220,159,500,127,0.087089,1271,221,180,0.139241
611,Nike SB Dunk High Pro KCDC,Nike,120,2022-04-29,145,535,21,250,132,475,101,0.12758,1224,189,150,-0.019608
612,New Balance 2002R Nightwatch Green,New Balance,130,2022-01-25,162,299,21,157,123,345,131,0.12564,1169,199,157,-0.315789
613,Converse Chuck Taylor All-Star Lift Hi Things To Grow Egret,Converse,80,2022-02-04,89,152,21,90,29,177,70,0.092683,1093,114,110,0.089109
614,Nike Air Force 1 Low '07 White Black (2022),Nike,100,2022-02-01,113,177,21,110,63,252,90,0.208648,809,141,140,0.186837
615,Nike Air Max 90 Terrascape Fuel Orange,Nike,150,2022-03-14,80,166,21,155,77,245,80,0.351673,635,128,88,0.062743
616,Nike PG 6 Black Mint,Nike,110,2022-02-19,91,191,21,130,48,209,78,0.141645,499,116,98,0.010309
617,Nike Dunk Low On the Bright Side (W),Nike,100,2022-02-03,129,67,21,165,44,246,110,0.127533,399,170,165,0.25
618,adidas Samba Vegan White Gum,Adidas,90,2021-06-16,83,98,21,118,42,191,41,0.167852,239,112,139,0.362745
619,Nike Dunk Low Graffiti Navy,Nike,110,,100,160,21,135,72,258,92,0.108927,222,124,163,0.495413
620,adidas Yeezy Slide Glow Green (2022) (Infants),Adidas,50,2022-05-31,50,189,21,50,36,83,38,0.068145,137,50,54,0.102041
621,Jordan 1 Retro High Electro Orange,Nike,170,2021-07-17,189,1112,20,191,202,1000,0,0.150865,26120,218,168,-0.152353
622,Jordan 13 Retro Obsidian Powder Blue White,Nike,190,2021-09-18,199,716,20,201,152,450,40,0.113483,11244,203,181,0.022599
623,Nike Dunk Low Pink Velvet (GS),Nike,95,2021-11-24,210,368,20,220,124,381,115,0.052909,10377,188,214,-0.040359
624,adidas Yeezy Boost 700 Enflame Amber,Adidas,240,2021-06-11,270,605,20,325,148,500,190,0.112254,7546,313,320,0.088436
625,Nike Blazer Mid 77 Indigo (W),Nike,110,2021-06-15,68,131,20,147,55,616,50,0.494329,7268,120,88,-0.539267
626,Nike Dunk Low Siempre Familia,Nike,120,2022-02-17,134,399,20,236,185,500,123,0.174508,7049,195,151,-0.05625
627,Jordan 1 Mid SE Brushstroke,Nike,130,2021-08-17,138,238,20,207,117,301,94,0.119913,6523,156,144,0.006993
628,Nike Blazer Low sacai KAWS Neptune Blue,Nike,140,2021-11-27,115,587,20,150,136,2000,70,0.083867,5651,191,141,0.109757
629,Jordan 1 Mid Syracuse (W),Nike,120,2021-08-26,128,384,20,152,92,242,82,0.114046,4272,142,134,-0.18217
630,Nike Dunk Low Essential Paisley Pack Worn Blue (W),Nike,120,2022-01-01,184,499,20,305,243,532,164,0.11206,3822,242,296,0.407375
631,Nike Dunk Low NH Winter Solstice (W),Nike,100,2021-12-16,162,312,20,284,81,515,144,0.157336,3290,199,259,0.568591
632,Nike Air Force 1 Low Shadow Cashmere (W),Nike,110,2021-07-27,106,144,20,120,69,371,39,0.21732,2932,119,122,0.042735
633,Nike LeBron 9 Big Bang (2022),Nike,240,2022-02-18,130,409,20,255,137,514,96,0.19769,2503,272,174,0.004382
634,Nike Air Max 90 Metallic Gold (2020) (W),Nike,180,2020-03-26,69,186,20,105,91,303,40,0.126213,2077,97,115,0.482075
635,adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),Adidas,220,2019-07-13,264,452,20,317,104,755,170,0.12113,1749,362,287,0.087121
636,Nike PG 5 Mismatched Multi-Color,Nike,110,2022-02-15,121,157,20,163,63,316,76,0.122675,1194,172,173,-0.195349
637,Nike Dunk High Vintage Black (W),Nike,125,2022-04-07,120,421,20,176,103,549,85,0.224821,1119,186,123,-0.08209
638,Nike Air Force 1 Low '07 Essential White Green Paisley (W),Nike,100,2022-03-10,83,305,20,131,88,280,73,0.396027,1103,122,90,-0.267834
639,adidas Yeezy Foam RNNR Stone Sage (Infants),Adidas,40,2022-03-11,91,194,20,100,34,170,70,0.124213,1064,112,100,0.234568
640,Nike Air Max 2017 Pure Platinum,Nike,190,,89,172,20,140,53,267,40,0.114443,567,137,95,-0.030612
641,Nike Air Griffey Max 1 Aqua,Nike,170,2022-06-02,125,155,20,195,72,270,100,0.158535,514,173,192,0.28
642,Nike Dunk Low Pink (GS),Nike,85,2017-07-01,79,239,20,101,60,173,57,0.209165,509,99,104,0.172606
